Ticker_YF,Name,Market,MarketCap_EUR
REAKTOR.HE,Reaktor Group Oyj,Nasdaq Helsinki Mid Cap,0.00
REBL.HE,Rebl Group Oyj,Nasdaq Helsinki Small Cap,13018054.00
REKA.HE,Reka Industrial Oyj,Nasdaq Helsinki Small Cap,24382517.00
RELAIS.HE,Relais Group Oyj,Nasdaq Helsinki Mid Cap,262677704.00
REMEDY.HE,Remedy Entertainment Oyj,Nasdaq Helsinki Mid Cap,253712389.00
ROBIT.HE,Robit Oyj,Nasdaq Helsinki Small Cap,28125027.00
SAGCV.HE,Saga Furs Oyj C,Nasdaq Helsinki Small Cap,57828511.00
SAVOX.HE,Savox Communications Oyj,Nasdaq Helsinki Mid Cap,166134377.00
SIILI.HE,Siili Solutions Oyj,Nasdaq Helsinki Small Cap,25641828.00
SITOWS.HE,Sitowise Group Plc,Nasdaq Helsinki Small Cap,89740173.00
SFOODS.HE,Solar Foods Oyj,First North Suomi,153172793.00
SOLTEQ.HE,Solteq Oyj,Nasdaq Helsinki Small Cap,6168087.00
SOLWERS.HE,Solwers Oyj,First North Suomi,15967697.00
SOSI1.HE,Sotkamo Silver AB,Nasdaq Helsinki Small Cap,146753599.00
SPINN.HE,Spinnova Oyj,First North Suomi,26080019.00
SPRING.HE,Springvest Oyj,First North Suomi,45421740.00
SRV1V.HE,SRV Group Plc,Nasdaq Helsinki Small Cap,142498873.00
SSH1V.HE,SSH Communications Security Oyj,Nasdaq Helsinki Small Cap,121235716.00
SUMMA.HE,Summa Defence Oyj,First North Suomi,17824919.00
SBI.HE,Sunborn International Plc,First North Suomi,96661438.00
SUY1V.HE,Suominen Oyj,Nasdaq Helsinki Small Cap,89075070.00
TAALA.HE,Taaleri Oyj,Nasdaq Helsinki Mid Cap,208046307.00
TNOM.HE,Talenom Oyj,Nasdaq Helsinki Mid Cap,55143547.00
TAMTRON.HE,Tamtron Group Oyj,First North Suomi,30518676.00
TEM1V.HE,Tecnotree Corporation,Nasdaq Helsinki Small Cap,152064101.00
TEKOVA.HE,Tekova Oyj,First North Suomi,49794843.00
TLT1V.HE,Teleste Corporation,Nasdaq Helsinki Small Cap,61392618.00
TITAN.HE,Titanium Oyj,First North Suomi,63366689.00
TOIVO.HE,Toivo Group Oyj,Nasdaq Helsinki Small Cap,53921180.00
TRH1V.HE,Trainers  House Plc,Nasdaq Helsinki Small Cap,4596348.00
TULAV.HE,Tulikivi Oyj A,Nasdaq Helsinki Small Cap,32860874.00
UNITED.HE,United Bankers Oyj,Nasdaq Helsinki Mid Cap,274082942.00
VERK.HE,Verkkokauppa.com Oyj,Nasdaq Helsinki Small Cap,157367733.00
VIAFIN.HE,Viafin Service Oyj,First North Suomi,70254244.00
VINCIT.HE,Vincit Oyj,First North Suomi,17924623.00
WETTERI.HE,Wetteri Oyj,Nasdaq Helsinki Small Cap,27341522.00
WITTED.HE,Witted Megacorp Oyj,First North Suomi,24229354.00
WUF1V.HE,Wulff Group Plc,Nasdaq Helsinki Small Cap,30263545.00
ALZ.ST,Alzinova AB,First North Stockholm,8220658.43
TEQ.ST,Teqnion AB,First North Stockholm,271653710.66
OSSD.ST,OssDsign AB,First North Stockholm,34202247.34
OPTER.ST,Opter AB,First North Stockholm,41921397.38
VETT.ST,Vetted Assets AB (publ),First North Stockholm,33314644.98
VIDH.ST,Vidhance AB,Spotlight Stockholm,2679286.72
CAG.ST,CAG Group AB,First North Premier Stockholm,59893275.20
COMPDM.ST,Compodium International AB,First North Stockholm,3907627.42
SPEC.ST,SpectraCure AB,First North Premier Stockholm,2753411.97
PRO.ST,Promimic AB,First North Stockholm,16499848.03
TOURN.ST,Tourn International AB,First North Stockholm,3960967.51
ALPCOT-B.ST,Alpcot Holding AB ser. B,First North Stockholm,20496377.03
LCLEAN.ST,Lifeclean International AB,First North Stockholm,1540602.88
DIVIO-B.ST,Divio Technologies AB ser. B,First North Stockholm,2708097.55
4C.ST,4C Group AB,First North Premier Stockholm,30252287.69
36GRP.ST,36 Group,Nordic Growth Market,463789.87
AAC.ST,AAC Clyde Space AB,First North Premier Stockholm,67810562.01
FASTAT.ST,AB Fastator,Nasdaq Stockholm Small Cap,15002843.93
ABI.ST,AB Igrene,Spotlight Stockholm,6064977.12
ABAS.ST,ABAS Protect AB,Spotlight Stockholm,5337175.37
ABIG.ST,Abelco Investment Group,Nordic Growth Market,801341.57
ABERA.ST,Abera Bioscience AB,Spotlight Stockholm,14242289.78
ABSO.ST,Absolent Air Care Group AB,First North Stockholm,213565859.21
ABSL-B.ST,Absolicon Solar Collector AB,Spotlight Stockholm,3427795.63
ACARIX.ST,Acarix AB,First North Premier Stockholm,21141964.28
ACCON.ST,Acconeer AB,First North Stockholm,83256941.57
PADEL.ST,Acenta Group AB,First North Stockholm,1050568.30
ACOU.ST,AcouSort AB,First North Stockholm,4972130.66
ACRI-A.ST,Acrinova AB ser. A,Nasdaq Stockholm Small Cap,30208781.48
ACRI-B.ST,Acrinova AB ser. B,Nasdaq Stockholm Small Cap,30208781.48
ACROUD.ST,ACROUD AB,First North Premier Stockholm,15350305.07
ATIC.ST,Actic Group AB,Nasdaq Stockholm Small Cap,53957862.62
ACTI.ST,Active Biotech AB,Nasdaq Stockholm Small Cap,10014752.75
ACUC.ST,AcuCort AB,Spotlight Stockholm,11261527.77
ACUVI.ST,Acuvi AB,First North Stockholm,22926205.59
ADTR.ST,Adtraction Group AB,First North Stockholm,55840611.88
ADVE.ST,Advenica AB,First North Premier Stockholm,63385791.88
ADVT.ST,Adverty,Nordic Growth Market,8071377.99
AERW-B.ST,Aerowash AB ser. B,Spotlight Stockholm,2266031.88
AEC.ST,AFRICA ENERGY CORP.,First North Stockholm,66108436.16
AFRI.ST,Africa Resources,Nordic Growth Market,512462.97
AGES-B.ST,Ages Industri AB ser. B,First North Premier Stockholm,27165289.43
AGTIRA-B.ST,Agtira AB ser. B,First North Stockholm,28509198.17
AIRA.ST,AI Revenue Assistant Software Stockholm AB,First North Stockholm,0.00
AIK-B.ST,AIK Fotboll B,Nordic Growth Market,4005588.38
AINO.ST,Aino Health AB,First North Stockholm,3751922.45
AIXIA-B.ST,Aixia Group AB ser. B,Spotlight Stockholm,12800698.69
ALCA.ST,Alcadon Group AB,First North Stockholm,66361729.78
ATORX.ST,Alligator Bioscience AB,Nasdaq Stockholm Small Cap,12973560.70
ALM.ST,ALM Equity AB,First North Stockholm,65342521.05
ALM-PREF.ST,ALM Equity AB Pref,First North Stockholm,0.00
ALZCUR.ST,AlzeCure Pharma AB,First North Premier Stockholm,98515309.17
AMH2-B.ST,Amhult 2 AB ser. B,Spotlight Stockholm,34088155.55
AMIDO.ST,Amido AB,Spotlight Stockholm,7093325.76
ANGL.ST,Angler Gaming Plc,Spotlight Stockholm,37174200.17
ANNE-B.ST,Annehem Fastigheter AB ser. B,Nasdaq Stockholm Small Cap,128675883.84
ANNX.ST,Annexin Pharmaceuticals AB,First North Stockholm,9898372.58
APRTEC.ST,APR Technologies AB,Spotlight Stockholm,62548015.90
APTA.ST,Aptahem AB,Spotlight Stockholm,1080357.73
AQUAT.ST,Aquaticus Real Estate AB,Spotlight Stockholm,0.00
ARBO-A.ST,Arbona A,Nordic Growth Market,153244371.44
ARCOMA.ST,Arcoma AB,First North Stockholm,10372107.69
ARCTIC.ST,Arctic Blue Beverages AB,First North Stockholm,988434.41
ARFA.ST,Arctic Falls Aktiebolag,First North Stockholm,53663794.59
ARCT.ST,Arctic Minerals AB,First North Stockholm,25109838.25
ARP.ST,Arctic Paper S.A.,Nasdaq Stockholm Mid Cap,97962972.14
ARENIT-SDB.ST,ARENIT Industrie SE SDB,First North Premier Stockholm,216410138.25
ARGO.ST,Argo Defence Group,Nordic Growth Market,0.00
ARION-SDB.ST,Arion Banki hf SDB,Nasdaq Stockholm Large Cap,0.00
ARPL.ST,Arla Plast AB,Nasdaq Stockholm Small Cap,70818951.97
AGROUP.ST,Arlandastad Group AB,First North Premier Stockholm,193910137.03
ACE.ST,Ascelia Pharma AB,Nasdaq Stockholm Small Cap,7489483.32
ATIN.ST,Athanase Innovation AB,First North Stockholm,34381823.23
ATANA.ST,Attana,Nordic Growth Market,1887493.36
AVEN.ST,Avensia AB,First North Premier Stockholm,19453230.92
AVSALT.ST,Avsalt Group,Nordic Growth Market,1002598.86
AVT-B.ST,Avtech Sweden AB B,First North Stockholm,14896792.49
AXIC-A.ST,aXichem AB ser. A,First North Stockholm,10795252.93
AXOLOT.ST,Axolot Solutions Holding AB,First North Stockholm,7923754.15
BTC-B.ST,B Treasury Capital AB ser. B,Spotlight Stockholm,7632755.98
BTC-PREF-A.ST,B Treasury Capital PREF A AB,Spotlight Stockholm,0.00
B3.ST,B3 Consulting Group AB,Nasdaq Stockholm Small Cap,20033117.21
BACTI-B.ST,Bactiguard Holding AB ser. B,Nasdaq Stockholm Small Cap,48663560.87
BALCO.ST,Balco Group AB,Nasdaq Stockholm Small Cap,34080081.57
BUSER.ST,Bambuser AB,First North Stockholm,14056003.49
BAWAT.ST,Bawat Water Technologies AB,First North Stockholm,0.00
BEGR.ST,BE Group AB,Nasdaq Stockholm Small Cap,52046206.46
BEAMMW-B.ST,BeammWave AB ser. B,First North Stockholm,64245417.73
BEO-SDB.ST,Beowulf Mining PLC SDB,Spotlight Stockholm,98375685.33
BHOLM.ST,Bergholm Fritidsfordon AB,Spotlight Stockholm,0.00
BERNER-B.ST,Berner Industrier AB ser. B,Nasdaq Stockholm Small Cap,121744366.29
BESQAB.ST,Besqab AB,Nasdaq Stockholm Mid Cap,253271676.86
BESQAB-PREF-B.ST,Besqab AB Pref B,Nasdaq Stockholm Mid Cap,0.00
BEYOND.ST,Beyond Frames Entertainment AB,Spotlight Stockholm,4264172.23
BIBB.ST,BibbInstruments AB,Spotlight Stockholm,5961297.38
BICO.ST,BICO Group AB,Nasdaq Stockholm Mid Cap,126048606.20
BIM.ST,BIMobject AB,First North Stockholm,66280502.01
BINERO.ST,Binero Group AB,First North Stockholm,19879078.43
BIOWKS.ST,Bio-Works Technologies AB,Spotlight Stockholm,28474696.94
BIOEX.ST,Bioextrax AB,First North Stockholm,10185523.41
BIOF.ST,Biofrigas Sweden AB,Spotlight Stockholm,2048595.20
BINV.ST,BioInvent International AB,Nasdaq Stockholm Mid Cap,128447815.81
BIOSGN.ST,Biosergen AB,First North Stockholm,8900722.18
BIOVIC-B.ST,Biovica International AB ser. B,First North Premier Stockholm,7768325.07
BORG.ST,Björn Borg AB,Nasdaq Stockholm Small Cap,125851738.25
BLICK.ST,Blick Global Group AB,Spotlight Stockholm,1057213.80
BLINC-B.ST,BlincVision AB ser. B,First North Premier Stockholm,16543701.75
BLUE.ST,Bluelake Mineral,Nordic Growth Market,25529034.85
SHIP.ST,BlueYield,Nordic Growth Market,26578165.94
BOHO.ST,Boho Group AB,First North Stockholm,39707633.10
BOHO-PREF.ST,Boho Group AB Pref,First North Stockholm,0.00
BOKUS.ST,Bokusgruppen AB,First North Premier Stockholm,94481830.04
BOMILL.ST,BoMill AB,First North Stockholm,4988429.08
BONAV-A.ST,Bonava AB ser. A,Nasdaq Stockholm Mid Cap,257362062.27
BONAV-B.ST,Bonava AB ser. B,Nasdaq Stockholm Mid Cap,261188998.17
BONG.ST,Bong AB,Nasdaq Stockholm Small Cap,11473322.71
BONAS.ST,Bonäsudden Holding AB,First North Stockholm,35068373.80
BOTX.ST,Botnia Gold AB,First North Stockholm,38203484.72
BOUL.ST,Boule Diagnostics AB,Nasdaq Stockholm Small Cap,9191066.55
BPCINS.ST,BPC Instruments AB,Spotlight Stockholm,15419944.98
BRAIN.ST,BrainCool AB,First North Stockholm,31003970.39
BRIGHT.ST,BrightBid Group AB,First North Stockholm,4062017.73
BRILL.ST,Brilliant Future AB,First North Stockholm,4023448.91
BRIN-B.ST,Brinova Fastigheter AB ser. B,Nasdaq Stockholm Mid Cap,249365811.79
BRIX.ST,Briox,Nordic Growth Market,150104329.34
BMC.ST,Brock Milton Capital AB,First North Stockholm,35088851.97
BUDDY-B.ST,BuddyPro Group B,Nordic Growth Market,2281380.52
BULTEN.ST,Bulten AB,Nasdaq Stockholm Small Cap,121345426.81
BMAX.ST,Byggmax Group AB,Nasdaq Stockholm Mid Cap,269828809.78
AJA-B.ST,Byggmästare Anders J Ahlström Holding AB,Nasdaq Stockholm Mid Cap,134925687.34
BYGGP.ST,ByggPartner Gruppen AB,First North Premier Stockholm,141769356.94
BESS.ST,Byhmgard,Nordic Growth Market,14031402.45
CRAD-B.ST,C-RAD AB ser. B,Nasdaq Stockholm Small Cap,101153351.18
C100.ST,C100 AB,Spotlight Stockholm,0.00
CALVIK.ST,Calviks AB,First North Stockholm,30555291.97
CANDLE-B.ST,Candles Scandinavia AB ser. B,First North Stockholm,28527521.05
CANTA.ST,Cantargia AB,Nasdaq Stockholm Small Cap,39053690.04
CARA.ST,Carasent AB,Nasdaq Stockholm Small Cap,152843064.28
CARDEO.ST,Cardeon,Nordic Growth Market,5431560.44
CARE.ST,Careium AB,First North Stockholm,59275228.91
CASE.ST,Case Group AB,First North Stockholm,56217205.24
CAT-A.ST,Catella AB ser. A,Nasdaq Stockholm Mid Cap,139094762.10
CAT-B.ST,Catella AB ser. B,Nasdaq Stockholm Mid Cap,139734816.16
CTM.ST,Catena Media P.L.C,Nasdaq Stockholm Small Cap,18696204.54
CCC.ST,Cavotec Group AB,Nasdaq Stockholm Mid Cap,109808753.71
CDON.ST,CDON AB,First North Stockholm,44878891.00
CEDER.ST,Cedergrenska AB,First North Stockholm,51970666.64
CI.ST,Cell Impact AB,First North Stockholm,4600920.35
CRNO-B.ST,Cereno Scientific AB ser. B,First North Stockholm,123853694.32
CHARGE.ST,ChargePanel AB,First North Stockholm,8052627.42
CHECK.ST,Checkin.com Group AB,First North Stockholm,6053958.78
CHEF.ST,Cheffelo AB,First North Premier Stockholm,130772817.47
CHOSA.ST,CHOSA Oncology AB,Spotlight Stockholm,5049283.49
CINPHA.ST,Cinclus Pharma Holding AB,Nasdaq Stockholm Small Cap,48204207.69
CIRCHE.ST,CirChem AB,First North Stockholm,3353361.66
CLAV.ST,Clavister AB,First North Stockholm,138774022.97
CLEMO.ST,Clean Motion AB,First North Stockholm,2288584.19
CLEM.ST,Clemondo Group AB,First North Stockholm,7618756.16
CLIME-B.ST,Climeon AB ser. B,First North Premier Stockholm,16019224.19
CLS-B.ST,Clinical Laserthermia Systems AB ser. B,First North Stockholm,7896097.55
CDMIL.ST,CodeMill AB,First North Stockholm,16357880.26
COEGIN.ST,Coegin Pharma,Nordic Growth Market,7241453.01
COLLAX.ST,Collaxio AB ser. B,First North Stockholm,3620902.36
CX.ST,CombinedX AB,First North Premier Stockholm,66346667.16
CNCJO-B.ST,Concejo AB ser. B,Nasdaq Stockholm Small Cap,48323675.28
CORE-PREF.ST,Corem Property Group AB Pref,Nasdaq Stockholm Large Cap,0.00
CLBIO.ST,Corline Biomedical AB,First North Stockholm,35833182.27
CRET.ST,Creturner Group,Nordic Growth Market,719046.38
CRWN.ST,Crown Energy,Nordic Growth Market,15590912.23
CFISH.ST,Crunchfish AB,First North Stockholm,14655166.03
CRUST-B.ST,Crustal Resources B,Nordic Growth Market,2679871.00
CTEK.ST,CTEK AB,Nasdaq Stockholm Small Cap,85193823.06
CTT.ST,CTT Systems AB,Nasdaq Stockholm Mid Cap,145100798.43
CYCLE.ST,Cyclezyme AB,Spotlight Stockholm,0.00
CYNCA.ST,Cynca Nordic AB,Nasdaq Stockholm Mid Cap,115696801.31
DEDI.ST,Dedicare AB ser. B,Nasdaq Stockholm Small Cap,46602220.44
DSNO.ST,Desenio Group AB,First North Stockholm,9003932.58
DEVP-B.ST,DevPort AB ser. B,First North Premier Stockholm,9329353.45
DVYSR.ST,Devyser Diagnostics AB,First North Premier Stockholm,82162637.03
DEX.ST,DexTech Medical AB,Spotlight Stockholm,16112563.58
DIAH.ST,Diadrom Holding,Nordic Growth Market,2260806.11
DMYD-B.ST,Diamyd Medical AB ser. B,First North Stockholm,13589907.25
DICOT.ST,Dicot Pharma AB,First North Stockholm,75311453.54
DPHA.ST,Disruptive Pharma AB,First North Stockholm,5140283.06
DIST.ST,DistIT AB,First North Premier Stockholm,9479386.64
DMXSE-SDB.ST,District Metals Corporation,First North Stockholm,0.00
DIV-B.ST,Dividend Sweden B,Nordic Growth Market,2239613.71
DLAB.ST,Dlaboratory Sweden AB,First North Stockholm,4617320.96
DONE.ST,Done.ai Group AB,First North Stockholm,52794594.50
DBP-B.ST,Double Bond Pharmaceutical Int. AB ser. B,Spotlight Stockholm,2096235.98
DOXA.ST,Doxa AB,First North Stockholm,38985471.62
DRIL.ST,Drillcon AB,First North Premier Stockholm,14022707.42
DURC-B.ST,Duroc AB ser. B,Nasdaq Stockholm Small Cap,67441049.78
DUST.ST,Dustin Group AB,Nasdaq Stockholm Mid Cap,207466750.74
EASY-B.ST,EasyFill AB ser. B,Spotlight Stockholm,3092885.85
EATG.ST,EatGood Sweden AB,Spotlight Stockholm,461353.62
ECRTO1.ST,EC European Capital RTO 1 AB,Spotlight Stockholm,0.00
ECOMB.ST,ECOMB,Nordic Growth Market,909913.80
ECO-B.ST,EcoRub AB ser. B,Spotlight Stockholm,3798390.48
EDYOU.ST,edyoutec AB,Spotlight Stockholm,1914190.39
ALBERT.ST,eEducation Albert AB,First North Stockholm,10139353.45
EFFH.ST,Effnetplattformen Holding AB,First North Stockholm,8051356.16
ELAN-B.ST,Elanders AB ser. B,Nasdaq Stockholm Mid Cap,155944666.03
ELIC.ST,Elicera Therapeutics AB,First North Stockholm,17398086.64
ELLOS.ST,Ellos Holding AB,Nasdaq Stockholm Small Cap,0.00
ELON.ST,Elon AB,Nasdaq Stockholm Small Cap,42828936.16
ELTEL.ST,Eltel AB,Nasdaq Stockholm Small Cap,212791098.69
EMB.ST,EMB Mission Bound AB,First North Stockholm,12192109.43
EMART.ST,EmbeddedArt Group,Nordic Growth Market,10421412.93
EMBELL.ST,Embellence Group AB,First North Premier Stockholm,68663168.65
EG7.ST,Enad Global 7 AB,Nasdaq Stockholm Small Cap,121800829.61
ENEA.ST,Enea AB,Nasdaq Stockholm Mid Cap,103776087.60
ENERS.ST,Enersize Oyj,First North Stockholm,776097.47
ENRO.ST,Eniro Group AB,Nasdaq Stockholm Small Cap,38148843.67
ERMA.ST,Enorama Pharma AB,First North Stockholm,4950864.45
ENRAD.ST,Enrad,Nordic Growth Market,21234493.89
ENVAR.ST,Envar Holding AB,First North Stockholm,48908296.94
ENVI-B.ST,Envirologic AB ser. B,Spotlight Stockholm,15595495.37
ENZY.ST,Enzymatica AB,First North Stockholm,43247128.38
EOLU-B.ST,Eolus Aktiebolag ser. B,Nasdaq Stockholm Small Cap,113033013.10
EPIS-B.ST,Episurf Medical AB B,Nasdaq Stockholm Small Cap,68078939.48
EQL.ST,EQL Pharma AB,Nasdaq Stockholm Small Cap,66538335.20
ESGR-B.ST,ES Group AB ser. B,First North Stockholm,8254271.62
BAT.ST,Eurobattery Minerals,Nordic Growth Market,17663737.47
EWRK.ST,Ework Group AB,Nasdaq Stockholm Mid Cap,88021671.00
EXALT.ST,Exalt AB,Spotlight Stockholm,1076228.03
EXPRS2.ST,ExpreS2ion Biotech Holding AB,First North Stockholm,2592683.76
EXS.ST,Exsitec Holding AB,First North Stockholm,144268322.10
FABLE.ST,Fable Media Group AB,Spotlight Stockholm,18987950.39
FAG.ST,Fagerhult Group AB,Nasdaq Stockholm Mid Cap,263681736.07
FG.ST,Fasadgruppen Group AB,Nasdaq Stockholm Mid Cap,130014380.96
TRIAN-B.ST,Fastighets AB Trianon ser. B,Nasdaq Stockholm Mid Cap,285015853.01
EMIL-PREF.ST,Fastighetsbolaget Emilshus AB Pref,Nasdaq Stockholm Mid Cap,0.00
FERRO.ST,Ferroamp AB,First North Stockholm,25348420.70
FNM.ST,Ferronordic AB,Nasdaq Stockholm Small Cap,120574779.91
FINE.ST,Finepart Sweden AB,Spotlight Stockholm,2398209.08
FIRE.ST,Firefly AB,First North Stockholm,85958917.03
FIRST-B.ST,First Venture Sweden AB ser. B,First North Stockholm,6203195.72
FLMNG.ST,Fleming Properties AB,Spotlight Stockholm,30558056.07
FLERIE.ST,Flerie AB,Nasdaq Stockholm Mid Cap,143179042.79
FLEXM.ST,Flexion Mobile Plc,First North Stockholm,14685192.31
FLEXQ.ST,FlexQube AB,First North Stockholm,56248162.79
FLOWS.ST,Flowscape Technology AB,First North Stockholm,5201487.51
FLUI.ST,Fluicell AB,First North Stockholm,4007133.62
FLUO.ST,FluoGuide A/S,First North Stockholm,50391950.13
FNOVA-B.ST,Fortinova Fastigheter AB ser. B,Nasdaq Stockholm Small Cap,105808672.84
FRACTL.ST,Fractal Gaming Group AB,First North Premier Stockholm,35565081.22
FRAG.ST,Fragbite Group AB,First North Stockholm,3781044.19
FRAM-B.ST,Fram Skandinavien AB ser. B,First North Stockholm,1193449.34
F2M.ST,Free2Move Holding,Nordic Growth Market,382800.70
FREEM.ST,Freemelt Holding AB,First North Stockholm,36988733.54
FREJA.ST,Freja eID Group AB,First North Premier Stockholm,43901584.45
FRILAN.ST,Frilans,Spotlight Stockholm,0.00
FRNT-B.ST,Front Ventures B,Nordic Growth Market,15309767.95
FRWA-B.ST,Frontwalker,Nordic Growth Market,10096084.98
FSPORT.ST,FSport AB,First North Stockholm,1181586.29
